id;holdate_start;holdate_end;nb_conge_acquis;nb_conge_pris;date_demande;decision;date_reponse
1;2022-10-13;2022-10-12;42351;45390;2022-10-12;Accepte;2022-10-13
2;2022-10-12;2022-10-13;91482;96219;2022-10-12;Accepte;2022-10-12
3;2022-10-12;2022-10-13;20110;98735;2022-10-12;Accepte;2022-10-13
4;2022-10-13;2022-10-13;40832;92469;2022-10-12;Accepte;2022-10-13
5;2022-10-13;2022-10-12;92085;43322;2022-10-12;EnAttente;2022-10-13
6;2022-10-13;2022-10-13;9733;15248;2022-10-13;EnAttente;2022-10-12
7;2022-10-12;2022-10-13;12162;4855;2022-10-13;EnAttente;2022-10-12
8;2022-10-13;2022-10-13;71621;35610;2022-10-12;Refuse;2022-10-12
9;2022-10-13;2022-10-13;44074;97898;2022-10-13;EnAttente;2022-10-13
10;2022-10-13;2022-10-12;23227;53363;2022-10-13;Refuse;2022-10-13
